model_id,vector_size,window,min_count,min_cluster_size,min_samples,cluster_selection_epsilon,validity_score,n_clusters
0,50,2,2,1,1,0.2,0.6649295240556632,3
1,50,2,5,2,13,0.0,0.7989217023122028,3
5,50,5,10,1,12,0.2,0.6941633820368005,4
7,50,10,5,3,6,0.0,0.5361024649981428,2
8,50,10,10,1,10,0.2,0.5198762641233999,3
9,100,2,2,1,12,0.2,0.5572881817488364,3
10,100,2,5,1,14,0.0,0.6021779200292152,4
19,200,2,5,1,15,0.2,0.6688704558790235,2
